season,details,from,until,days,games,reason,player,url
2021,Ill,2020-12-28,2021-01-15,18,4,injury,,/steven-alzate/profil/spieler/476237
2021,unknown injury,2021-05-02,2021-05-17,15,3,injury,,/james-milner/profil/spieler/3333
2021,Hamstring injury,2020-11-28,2020-12-26,28,7,injury,,/james-milner/profil/spieler/3333
2021,Calf injury,2020-09-21,2020-09-27,6,1,injury,,/james-milner/profil/spieler/3333
2021,Hamstring strain,2020-07-09,2020-07-21,12,2,injury,,/james-milner/profil/spieler/3333
2021,Hamstring strain,2020-11-29,2020-12-06,7,,injury,,/neal-maupay/profil/spieler/217115
2021,Red card suspension,2021-05-10,2021-05-24,14,3,suspension,,/neal-maupay/profil/spieler/217115
2021,Hamstring injury,2021-05-08,2021-05-25,17,3,injury,,/callum-wilson/profil/spieler/123682
2021,Hamstring injury,2021-02-07,2021-04-04,56,10,injury,,/callum-wilson/profil/spieler/123682
2021,Hamstring injury,2021-01-04,2021-01-11,7,1,injury,,/callum-wilson/profil/spieler/123682
2021,Hamstring strain,2020-11-07,2020-11-26,19,4,injury,,/callum-wilson/profil/spieler/123682
2021,Knock,2020-11-03,2020-12-10,37,4,injury,,/jamie-shackleton/profil/spieler/534700
2021,unknown injury,2021-03-24,2021-04-21,28,6,injury,,/aaron-connolly/profil/spieler/434207
2021,Hamstring injury,2021-01-03,2021-01-26,23,4,injury,,/aaron-connolly/profil/spieler/434207
2021,Groin strain,2020-12-21,2020-12-28,7,1,injury,,/aaron-connolly/profil/spieler/434207
2021,Hamstring injury,2020-11-07,2020-11-20,13,5,injury,,/aaron-connolly/profil/spieler/434207
2021,Ankle ligament tear,2020-10-15,2020-11-01,17,2,injury,,/joachim-andersen/profil/spieler/260827
2021,Muscle fatigue,2020-07-02,2020-07-06,4,1,injury,,/nicolas-pepe/profil/spieler/343052
2021,Red card suspension,2020-11-23,2020-12-13,20,3,suspension,,/nicolas-pepe/profil/spieler/343052
2021,bruise,2020-10-28,2020-11-04,7,1,injury,,/tom-davies/profil/spieler/314210
2021,Hamstring injury,2020-11-08,2020-11-22,14,3,injury,,/james-ward-prowse/profil/spieler/181579
2021,Calf injury,2021-02-08,2021-03-08,28,6,injury,,/kalvin-phillips/profil/spieler/351749
2021,Shoulder injury,2020-10-22,2020-11-23,32,7,injury,,/kalvin-phillips/profil/spieler/351749
2021,Patellar tendon problems,2020-11-11,2021-06-30,231,51,injury,,/joe-gomez/profil/spieler/256178
2021,Hamstring injury,2020-12-27,2021-03-14,77,21,injury,,/nathan-ake/profil/spieler/177476
2021,Hamstring injury,2020-11-11,2020-11-30,19,5,injury,,/nathan-ake/profil/spieler/177476
2021,Groin strain,2020-10-21,2020-10-30,9,3,injury,,/nathan-ake/profil/spieler/177476
2021,Groin injury,2020-07-13,2020-07-25,12,2,injury,,/nathan-ake/profil/spieler/177476
2021,Corona virus,2021-03-26,2021-03-29,3,1,injury,,/alex-iwobi/profil/spieler/242631
2021,Knee injury,2021-01-02,2021-04-24,112,17,injury,,/wesley-moraes/profil/spieler/381362
2021,Cruciate ligament tear,2021-02-10,2021-06-01,111,34,injury,,/alfie-mawson/profil/spieler/287431
2021,Knee surgery,2020-10-21,2021-01-14,85,17,injury,,/alfie-mawson/profil/spieler/287431
2021,Ankle injury,2021-02-07,2021-03-10,31,4,injury,,/javier-manquillo/profil/spieler/162029
2021,Virus,2021-01-24,2021-01-25,1,,injury,,/javier-manquillo/profil/spieler/162029
2021,Virus,2020-11-29,2020-12-25,26,4,injury,,/javier-manquillo/profil/spieler/162029
2021,Knock,2020-07-02,2020-07-04,2,,injury,,/javier-manquillo/profil/spieler/162029
2021,Virus,2020-12-30,2021-01-15,16,2,injury,,/ryan-fredericks/profil/spieler/140191
2021,Groin injury,2020-11-09,2020-12-10,31,3,injury,,/ryan-fredericks/profil/spieler/140191
2021,Muscle strain,2020-09-28,2020-10-17,19,2,injury,,/ryan-fredericks/profil/spieler/140191
2021,Muscle injury,2021-02-11,2021-03-01,18,4,injury,,/fabinho/profil/spieler/225693
2021,muscular problems,2021-01-26,2021-02-06,11,3,injury,,/fabinho/profil/spieler/225693
2021,Hamstring injury,2020-10-27,2020-11-21,25,6,injury,,/fabinho/profil/spieler/225693
2021,Red card suspension,2021-02-27,2021-03-03,4,1,suspension,,/semi-ajayi/profil/spieler/251912
2021,Ankle injury,2020-12-30,2021-01-11,12,1,injury,,/kevin-long/profil/spieler/111114
2021,Calf injury,2021-02-18,2021-03-12,22,4,injury,,/yerry-mina/profil/spieler/289446
2021,Muscle injury,2020-07-13,2020-09-12,61,3,injury,,/yerry-mina/profil/spieler/289446
2021,Knee surgery,2021-04-09,2021-09-13,157,14,injury,,/terence-kongolo/profil/spieler/152651
2021,Achilles tendon problems,2021-01-15,2021-02-13,29,7,injury,,/terence-kongolo/profil/spieler/152651
2021,Ankle injury,2020-10-16,2021-01-12,88,12,injury,,/terence-kongolo/profil/spieler/152651
2021,Fitness,2020-08-01,2020-11-01,92,10,injury,,/terence-kongolo/profil/spieler/152651
2021,Back problems,2020-12-22,2020-12-26,4,1,injury,,/patrick-cutrone/profil/spieler/265078
2021,Ankle injury,2021-01-28,2021-07-01,154,23,injury,,/joel-matip/profil/spieler/82105
2021,Groin problems,2020-12-28,2021-01-21,24,5,injury,,/joel-matip/profil/spieler/82105
2021,Back problems,2020-12-14,2020-12-17,3,1,injury,,/joel-matip/profil/spieler/82105
