season,details,reason,from,until,days,games,player,url
2122,Transferred to Watford U18,Transfer,2021-07-01,2022-06-30,,,Jack Grieves,/jack-grieves/profil/spieler/974327
2122,Transferred to Southampton U18,Transfer,2021-07-01,2022-06-30,,,Tyler Dibling,/tyler-dibling/profil/spieler/866655
2122,Transferred to West Ham U21,Transfer,2021-07-01,2022-06-30,,,Jamal Baptiste,/jamal-baptiste/profil/spieler/610706
2122,Transferred to Middlesbrough,Transfer,2021-08-29,2022-01-12,,,Onel Hernández,/onel-hernandez/profil/spieler/109751
2122,Transferred to Birmingham,Transfer,2022-01-14,2022-06-29,,,Onel Hernández,/onel-hernandez/profil/spieler/109751
2122,Corona virus,injury,2021-09-04,2021-09-20,16,3,Zack Steffen,/zack-steffen/profil/spieler/221624
2122,Ankle Injury,injury,2021-11-13,2022-01-08,56,10,Sead Kolasinac,/sead-kolasinac/profil/spieler/94005
2122,Transferred to Marseille,Transfer,2022-01-18,2022-06-30,,,Sead Kolasinac,/sead-kolasinac/profil/spieler/94005
2122,Transferred to Spartak Moscow,Transfer,2021-07-01,2021-08-30,,,Alex Kral,/alex-kral/profil/spieler/337333
2122,Transferred to Spartak Moscow,Transfer,2022-06-30,2022-06-30,,,Alex Kral,/alex-kral/profil/spieler/337333
2122,Transferred to Everton U23,Transfer,2021-07-01,2022-06-30,,,Isaac Price,/isaac-price/profil/spieler/612749
2122,Transferred to Bournemouth,Transfer,2022-01-31,2022-05-30,,,Todd Cantwell,/todd-cantwell/profil/spieler/332341
2122,Transferred to Brentford B,Transfer,2021-07-01,2022-06-30,,,Nathan Young-Coombes,/nathan-young-coombes/profil/spieler/581679
2122,Transferred to Everton U18,Transfer,2021-07-01,2021-08-23,,,Thierry Small,/thierry-small/profil/spieler/746554
2122,Transferred to Southampton B,Transfer,2021-08-24,2022-06-30,,,Thierry Small,/thierry-small/profil/spieler/746554
2122,Calf Injury,injury,2022-04-18,2022-05-23,35,6,Paul Pogba,/paul-pogba/profil/spieler/122153
2122,Hamstring Injury,injury,2021-11-08,2022-02-03,87,14,Paul Pogba,/paul-pogba/profil/spieler/122153
2122,Transferred to Leicester U21,Transfer,2021-07-01,2022-06-30,,,Sammy Braybrooke,/sammy-braybrooke/profil/spieler/840640
2122,Thigh Problems,injury,2022-05-12,2022-05-25,13,3,Fabinho,/fabinho/profil/spieler/225693
2122,Groin Injury,injury,2021-11-18,2022-02-06,80,9,Ashley Barnes,/ashley-barnes/profil/spieler/63200
2122,Transferred to Swansea,Transfer,2021-08-31,2022-06-30,,,Michael Obafemi,/michael-obafemi/profil/spieler/444208
2122,Transferred to Brentford B,Transfer,2021-07-01,2022-06-30,,,Daniel Oyegoke,/daniel-oyegoke/profil/spieler/586984
2122,groin strain,injury,2021-11-05,2021-12-20,45,8,Nampalys Mendy,/nampalys-mendy/profil/spieler/111051
