Emerson Leite de Souza Junior,Emerson Aparecido Leite de Souza Junior
Pablo Fornals Malla,Pablo Fornals
Bernardo Veiga de Carvalho e Silva,Bernardo Mota Veiga de Carvalho e Silva
Moisés Caicedo Corozo,Moisés Caicedo
Lyanco Silveira Neves Vojnovic,Lyanco Evangelista Silveira Neves Vojnovic
Diogo Dalot Teixeira,José Diogo Dalot Teixeira,Diogo Dalot
Jeremy Sarmiento Morante,Jeremy Sarmiento
Son Heung-min,Heung-Min Son,Heung-min Son
Asmir Begović,Asmir Begovic
Gabriel Martinelli Silva,Gabriel Teodoro Martinelli Silva,Gabriel Martinelli
Kaine Kesler Hayden,Kaine Hayden
Matija Šarkić,Matija Sarkic
Rúben da Silva Neves,Rúben Diogo da Silva Neves
Tino Livramento,Valentino Livramento
Rúben Nascimento Vinagre,Rúben Gonçalo Silva Nascimento Vinagre,Rúben Vinagre
Eddie Nketiah,Edward Nketiah
Matt Clarke,Matthew Clarke
Emiliano Martínez Romero,Emiliano Martínez
Ben Chilwell,Benjamin Chilwell
Fin Stevens,Finley Stevens
Xande Nascimento da Costa Silva,Alexandre Nascimento Costa Silva
Matty Cash,Matthew Cash
Roméo Lavia,Romeo Lavia
Paulo Gazzaniga Farias,Paulo Gazzaniga
Sergi Canós Tenés,Sergi Canós
Cédric Alves Soares,Cédric Soares
Junior Firpo Adames,Héctor Junior Firpo Adames
Ricardo Barbosa Pereira,Ricardo Domingos Barbosa Pereira,Ricardo Pereira
Lucas Torreira di Pascua,Lucas Torreira
Hugo Bueno López,Hugo Bueno
Andreas Hoelgebaum Pereira,Andreas Pereira
Rayan Aït-Nouri,Rayan Ait Nouri
Luke Mbete-Tabu,Luke Mbete
Marc Cucurella Saseta,Marc Cucurella
Will Smallbone,William Smallbone
Miguel Almirón Rejala,Miguel Almirón
Josh Dasilva,Pelenda Joshua Dasilva
Joe Willock,Joseph Willock
Josh Wilson-Esbrand,Joshua Wilson-Esbrand
Rúben Gato Alves Dias,Rúben Santos Gato Alves Dias
Pablo Marí Villar,Pablo Marí
Gabriel dos Santos Magalhães,Gabriel Magalhães
Ivan Neves Abreu Cavaleiro,Ivan Ricardo Neves Abreu Cavaleiro
Adama Traoré Diarra,Adama Traoré
Bruno Borges Fernandes,Bruno Miguel Borges Fernandes
Dele Alli,Bamidele Alli
Bobby De Cordova-Reid,Bobby Decordova-Reid
Hwang Hee-chan,Hee-Chan Hwang
Alex Telles,Alex Nicolao Telles
André Tavares Gomes,André Filipe Tavares Gomes,André Gomes
Jefferson Lerma Solís,Jefferson Lerma
Benjamin White,Ben White
Javier Manquillo Gaitán,Javier Manquillo
Boubacar Kamara,Aboubakar Kamara
Facundo Pellistri Rebollo,Facundo Pellistri
Solly March,Solomon March
David De Gea Quintana,David de Gea
João Cancelo,João Pedro Cavaco Cancelo
João Pedro Junqueira de Jesus,João Pedro
Joseph Gomez,Joe Gomez
Gabriel Fernando de Jesus,Gabriel Jesus
Matthew Longstaff,Matty Longstaff
Emerson Palmieri dos Santos,Emerson
Ederson Santana de Moraes,Ederson
Willian Borges Da Silva,Willian
Alisson Ramses Becker,Alisson
José Ignacio Peleteiro Romallo,Jota Peleteiro
Georges-Kévin Nkoudou,Georges-Kevin N'Koudou
Joelinton Cássio Apolinário de Lira,Joelinton
Ally Samatta,Mbwana Samatta
Chicharito,Javier Hernández Balcázar
Ralf Fahrmann,Ralf Fährmann
Jay Rodriguez,Jay Rodríguez
Isaac Success Ajayi,Isaac Success
Pierre-Emile Højbjerg,Pierre-Emile Höjbjerg
Robert Kenedy Nunes do Nascimento,Kenedy
Roberto Jimenez Gago,Roberto
José Lloyd Cholevas,José Holebas,Jose Cholevas
Daniel Ceballos Fernández,Dani Ceballos
Nemanja Matić,Nemanja Matic
Lucas Rodrigues Moura da Silva,Lucas Moura
Rodrigo Hernandez,Rodri
Naby Keita,Naby Keïta
Bruno André Cavaco Jordao,Bruno Jordão
Gedson Carvalho Fernandes,Gedson Fernandes
Arnaut Danjuma Groeneveld,Arnaut Danjuma
Jonathan Castro Otto,Jonny Otto
Richarlison de Andrade,Richarlison
Etienne Capoue,Étienne Capoue
Pedro Rodríguez Ledesma,Pedro
Francisco Femenía Far,Kiko Femenía
Pedro Lomba Neto,Pedro Neto
Çaglar Söyüncü,Caglar Söyüncü
Daniel Drinkwater,Danny Drinkwater
Tanguy Ndombele,Tanguy Ndombélé
Bernardo Fernandes da Silva Junior,Bernardo
Bernard Anício Caldeira Duarte,Bernard
Johann Berg Gudmundsson,Jóhann Berg Gudmundsson
Ezri Konsa Ngoyo,Ezri Konsa
Felipe Anderson Pereira Gomes,Felipe Anderson
Eric Garcia,Eric García
Wesley Moraes,Wesley
José Reina,Pepe Reina
Fabio Henrique Tavares,Fabinho
Daniel Castelo Podence,Daniel Podence
Fernando Luiz Rosa,Fernandinho
