season,injury,from,until,days,games,player,url
1819,Achilles tendon rupture,2019-05-15,2020-02-19,280,38,Ruben Loftus-Cheek,/ruben-loftus-cheek/profil/spieler/202886
1819,Back Injury,2019-03-18,2019-03-30,12,,Ruben Loftus-Cheek,/ruben-loftus-cheek/profil/spieler/202886
1819,Back Injury,2019-01-06,2019-01-26,20,4,Ruben Loftus-Cheek,/ruben-loftus-cheek/profil/spieler/202886
1819,Back Injury,2018-12-29,2019-01-01,3,1,Ruben Loftus-Cheek,/ruben-loftus-cheek/profil/spieler/202886
1819,Knock,2018-09-21,2018-10-03,12,3,Ruben Loftus-Cheek,/ruben-loftus-cheek/profil/spieler/202886
1819,Foot Injury,2018-09-13,2018-09-19,6,1,Ruben Loftus-Cheek,/ruben-loftus-cheek/profil/spieler/202886
1819,Bruise,2019-02-11,2019-02-25,14,1,Ben Chilwell,/ben-chilwell/profil/spieler/316125
1819,Knee Injury,2018-12-10,2018-12-21,11,2,Ben Chilwell,/ben-chilwell/profil/spieler/316125
1819,Muscle Injury,2019-04-08,2019-05-04,26,4,Dimitri Foulquier,/dimitri-foulquier/profil/spieler/170472
1819,Ankle Injury,2019-04-08,2019-04-19,11,1,Gerard Deulofeu,/gerard-deulofeu/profil/spieler/129476
1819,Foot Injury,2018-08-21,2018-10-05,45,7,Gerard Deulofeu,/gerard-deulofeu/profil/spieler/129476
1819,Shoulder Injury,2019-01-05,2019-03-16,70,13,Pape Souaré,/pape-souare/profil/spieler/125868
1819,Knock,2018-08-12,2018-09-24,43,6,Pape Souaré,/pape-souare/profil/spieler/125868
1819,Ankle Surgery,2018-10-28,2019-09-23,330,38,Daniel Amartey,/daniel-amartey/profil/spieler/214056
1819,Ankle Surgery,2018-12-05,2019-04-08,124,23,Joe Gomez,/joe-gomez/profil/spieler/256178
1819,Knock,2018-08-05,2018-08-11,6,,Joe Gomez,/joe-gomez/profil/spieler/256178
1819,Knock,2019-03-04,2019-03-29,25,2,Phil Jagielka,/phil-jagielka/profil/spieler/13520
1819,Knock,2019-01-15,2019-02-25,41,6,Phil Jagielka,/phil-jagielka/profil/spieler/13520
1819,Knee Injury,2018-08-12,2018-11-11,91,13,Phil Jagielka,/phil-jagielka/profil/spieler/13520
1819,Knee Injury,2019-07-15,2019-08-12,28,1,Antonio Rüdiger,/antonio-rudiger/profil/spieler/86202
1819,Knee Surgery,2019-04-29,2019-05-31,32,5,Antonio Rüdiger,/antonio-rudiger/profil/spieler/86202
1819,Unknown Injury,2019-04-15,2019-04-27,12,2,Antonio Rüdiger,/antonio-rudiger/profil/spieler/86202
1819,Knee Injury,2019-01-31,2019-02-01,1,,Antonio Rüdiger,/antonio-rudiger/profil/spieler/86202
1819,Groin Strain,2018-10-08,2018-10-19,11,,Antonio Rüdiger,/antonio-rudiger/profil/spieler/86202
1819,Groin Injury,2018-09-24,2018-09-28,4,1,Antonio Rüdiger,/antonio-rudiger/profil/spieler/86202
1819,Hamstring Injury,2019-02-26,2019-04-16,49,9,Pascal Groß,/pascal-gross/profil/spieler/82873
1819,Ankle Injury,2018-09-01,2018-11-22,82,9,Pascal Groß,/pascal-gross/profil/spieler/82873
1819,Knock,2018-10-11,2018-10-21,10,1,Angel Gomes,/angel-gomes/profil/spieler/392770
1819,Hamstring Injury,2019-02-18,2019-03-02,12,4,Gabriel Jesus,/gabriel-jesus/profil/spieler/363205
1819,Knock,2018-12-23,2018-12-29,6,1,Gabriel Jesus,/gabriel-jesus/profil/spieler/363205
1819,Groin Strain,2018-11-25,2018-11-30,5,1,Gabriel Jesus,/gabriel-jesus/profil/spieler/363205
1819,Groin Strain,2019-01-24,2019-02-23,30,7,Ben Davies,/ben-davies/profil/spieler/192765
1819,Knock,2018-09-20,2018-10-19,29,4,Stefano Okaka,/stefano-okaka/profil/spieler/35249
1819,Back trouble,2019-03-18,2019-03-31,13,1,Trent Alexander-Arnold,/trent-alexander-arnold/profil/spieler/314353
1819,Knee Injury,2019-01-13,2019-02-08,26,3,Trent Alexander-Arnold,/trent-alexander-arnold/profil/spieler/314353
1819,Foot Injury,2018-12-11,2018-12-26,15,4,Trent Alexander-Arnold,/trent-alexander-arnold/profil/spieler/314353
1819,Knock,2019-04-14,2019-05-31,47,5,Alex McCarthy,/alex-mccarthy/profil/spieler/95976
1819,Calf Injury,2018-10-14,2018-10-19,5,,Alex McCarthy,/alex-mccarthy/profil/spieler/95976
1819,Back Injury,2019-03-28,2019-05-31,64,7,Philip Billing,/philip-billing/profil/spieler/320411
1819,Knee Injury,2019-01-13,2019-02-01,19,2,Philip Billing,/philip-billing/profil/spieler/320411
1819,Knock,2018-10-13,2018-10-19,6,,Philip Billing,/philip-billing/profil/spieler/320411
1819,Calf Problems,2019-04-14,2019-05-15,31,4,Cesc Fàbregas,/cesc-fabregas/profil/spieler/8806
1819,Thigh Problems,2019-03-09,2019-04-01,23,3,Cesc Fàbregas,/cesc-fabregas/profil/spieler/8806
1819,Knee Problems,2018-08-10,2018-09-15,36,5,Cesc Fàbregas,/cesc-fabregas/profil/spieler/8806
1819,Knock,2019-04-01,2019-05-31,60,10,Adam Lallana,/adam-lallana/profil/spieler/43530
1819,Knock,2019-01-06,2019-01-18,12,2,Adam Lallana,/adam-lallana/profil/spieler/43530
1819,Knock,2018-11-09,2018-12-04,25,4,Adam Lallana,/adam-lallana/profil/spieler/43530
1819,Groin Strain,2018-09-04,2018-10-19,45,7,Adam Lallana,/adam-lallana/profil/spieler/43530
1819,Unknown Injury,2019-01-25,2019-03-05,39,3,Danilo Pantic,/danilo-pantic/profil/spieler/222830
1819,Hamstring Injury,2018-10-24,2018-10-30,6,2,Danilo Pantic,/danilo-pantic/profil/spieler/222830
1819,Knock,2019-04-14,2019-05-03,19,2,Adam Smith,/adam-smith/profil/spieler/61841
1819,Hamstring Injury,2019-03-10,2019-04-05,26,2,Adam Smith,/adam-smith/profil/spieler/61841
1819,Cartilage Damage,2018-11-10,2019-01-11,62,12,Adam Smith,/adam-smith/profil/spieler/61841
1819,Ankle Surgery,2019-02-28,2019-09-20,204,12,Andy Carroll,/andy-carroll/profil/spieler/48066
1819,Ankle Surgery,2018-07-12,2018-11-22,133,15,Andy Carroll,/andy-carroll/profil/spieler/48066
1819,Ankle Injury,2019-01-26,2019-03-16,49,12,Filip Benkovic,/filip-benkovic/profil/spieler/293168
1819,Strain,2019-04-14,2019-05-31,47,,Harry Arter,/harry-arter/profil/spieler/55742
1819,Knock,2019-03-28,2019-03-30,2,,Harry Arter,/harry-arter/profil/spieler/55742
1819,Strain,2019-01-30,2019-02-08,9,1,Harry Arter,/harry-arter/profil/spieler/55742
1819,Groin Strain,2019-01-13,2019-01-28,15,1,Harry Arter,/harry-arter/profil/spieler/55742
1819,Knock,2019-01-02,2019-01-11,9,1,Harry Arter,/harry-arter/profil/spieler/55742
1819,Knock,2018-10-21,2018-11-02,12,1,Harry Arter,/harry-arter/profil/spieler/55742
1819,Knock,2018-09-16,2018-09-21,5,,Harry Arter,/harry-arter/profil/spieler/55742
1819,Cruciate Ligament Rupture,2019-03-30,2019-12-29,274,55,Bartosz Kapustka,/bartosz-kapustka/profil/spieler/246579
1819,Knee Injury,2018-10-11,2018-10-19,8,,Gaëtan Bong,/gaetan-bong/profil/spieler/36291
1819,Muscle Injury,2019-04-18,2019-04-23,5,2,Hugo Lloris,/hugo-lloris/profil/spieler/17965
1819,Thigh Muscle Strain,2018-08-28,2018-10-02,35,6,Hugo Lloris,/hugo-lloris/profil/spieler/17965
1819,Knee Injury,2019-03-17,2019-03-29,12,,Nicolás Otamendi,/nicolas-otamendi/profil/spieler/54781
1819,Achilles tendon problems,2018-11-10,2018-11-23,13,1,Nicolás Otamendi,/nicolas-otamendi/profil/spieler/54781
1819,Knock,2018-10-30,2018-11-06,7,2,Nicolás Otamendi,/nicolas-otamendi/profil/spieler/54781
1819,Thigh Muscle Strain,2019-04-04,2019-04-19,15,4,Oleksandr Zinchenko,/oleksandr-zinchenko/profil/spieler/203853
1819,Muscle Fatigue,2019-01-23,2019-02-04,12,4,Oleksandr Zinchenko,/oleksandr-zinchenko/profil/spieler/203853
