season,absence/suspension,competition,from,until,days,games,player,url
1819,Yellow card suspension,LaLiga,2019-01-13,2019-01-19,6,1,Dimitri Foulquier,/dimitri-foulquier/profil/spieler/170472
1819,Red card suspension, ,2018-08-12,2018-08-30,18,3,Phil Jagielka,/phil-jagielka/profil/spieler/13520
1819,Yellow card suspension,Premier League,2018-12-05,2018-12-09,4,1,Philip Billing,/philip-billing/profil/spieler/320411
1819,Indirect card suspension,Championship Play-Offs,2019-05-13,2019-05-15,2,1,Dwight Gayle,/dwight-gayle/profil/spieler/196522
1819,Suspension through sports court,Championship,2019-02-13,2019-02-20,7,2,Dwight Gayle,/dwight-gayle/profil/spieler/196522
1819,Yellow card suspension,Championship,2019-04-20,2019-05-06,16,3,Jack Colback,/jack-colback/profil/spieler/61644
1819,Yellow card suspension,Championship,2019-01-28,2019-02-11,14,2,Jack Colback,/jack-colback/profil/spieler/61644
1819,Yellow card suspension,Championship,2018-10-29,2018-11-05,7,1,Jack Colback,/jack-colback/profil/spieler/61644
1819,Indirect card suspension,LaLiga2,2018-09-03,2018-09-10,7,1,Marcelo Djaló,/marcelo-djalo/profil/spieler/142022
1819,Red card suspension, ,2018-08-26,2018-08-29,3,1,Adam Smith,/adam-smith/profil/spieler/61841
1819,Yellow card suspension,1B Pro League,2018-12-10,2018-12-15,5,1,Bartosz Kapustka,/bartosz-kapustka/profil/spieler/246579
1819,Red card suspension,UEFA Champions League,2018-10-25,2018-11-08,14,1,Hugo Lloris,/hugo-lloris/profil/spieler/17965
1819,Suspension through sports court, ,2019-01-10,2019-01-17,7,2,Charlie Austin,/charlie-austin/profil/spieler/129627
1819,Indirect card suspension, ,2019-01-03,2019-01-06,3,1,Christopher Schindler,/christopher-schindler/profil/spieler/57842
1819,Yellow card suspension,Serie A,2019-05-28,2019-08-25,89,,Tiemoué Bakayoko,/tiemoue-bakayoko/profil/spieler/182618
1819,Indirect card suspension,Serie A,2018-12-19,2018-12-24,5,1,Tiemoué Bakayoko,/tiemoue-bakayoko/profil/spieler/182618
1819,Yellow card suspension,UEFA Champions League,2018-12-12,2019-02-20,70,1,Virgil van Dijk,/virgil-van-dijk/profil/spieler/139208
1819,Yellow card suspension,LaLiga,2019-05-13,2019-05-19,6,1,Álvaro Morata,/alvaro-morata/profil/spieler/128223
1819,Suspended,Premier League,2019-01-20,2019-01-31,11,,Aboubakar Kamara,/aboubakar-kamara/profil/spieler/290951
1819,Red card suspension,Premier League,2018-12-02,2018-12-16,14,3,Steve Mounié,/steve-mounie/profil/spieler/238639
1819,Red card suspension,Championship,2019-03-13,2019-04-08,26,3,Gary Madine,/gary-madine/profil/spieler/66994
1819,Red card suspension,Premier League,2019-01-30,2019-02-03,4,1,Lucas Digne,/lucas-digne/profil/spieler/126664
1819,Red card suspension,2019 European Under-21 Football Championship,2019-06-19,2019-06-24,5,1,Hamza Choudhury,/hamza-choudhury/profil/spieler/341501
1819,Red card suspension,2019 European Under-21 Football Championship,2019-06-19,2019-06-24,5,1,Hamza Choudhury,/hamza-choudhury/profil/spieler/341501
1819,Suspension through sports court, ,2019-02-08,2019-02-27,19,3,Florin Andone,/florin-andone/profil/spieler/177065
1819,Red card suspension,Serie A,2018-11-13,2018-12-04,21,2,Gonzalo Higuaín,/gonzalo-higuain/profil/spieler/39153
1819,Called up to national team,LaLiga2,2019-03-18,2019-03-26,8,1,Rafa Mir,/rafa-mir/profil/spieler/361254
1819,Red card suspension, ,2018-08-19,2018-09-02,14,3,Isaac Hayden,/isaac-hayden/profil/spieler/206225
1819,Yellow card suspension,UEFA Champions League,2019-04-11,2019-04-17,6,1,Luke Shaw,/luke-shaw/profil/spieler/183288
1819,Yellow card suspension,Premier League,2019-04-03,2019-04-22,19,2,Luke Shaw,/luke-shaw/profil/spieler/183288
1819,Yellow card suspension,Premier League,2018-11-12,2018-11-25,13,1,Luke Shaw,/luke-shaw/profil/spieler/183288
1819,Yellow card suspension,Ligue 1,2019-03-18,2019-04-01,14,1,Adrien Silva,/adrien-silva/profil/spieler/56810
1819,Red card suspension,Premier League,2019-03-03,2019-04-08,36,3,Lucas Torreira,/lucas-torreira/profil/spieler/318077
1819,Yellow card suspension,Süper Lig,2019-04-14,2019-04-21,7,1,Henry Onyekuru,/henry-onyekuru/profil/spieler/380415
1819,Red card suspension,UEFA European Under-21 Championship Qualifying,2017-09-06,2017-10-05,29,1,Arijanet Muric,/arijanet-muric/profil/spieler/371021
1819,Red card suspension,3. Liga,2019-03-05,2019-03-19,14,3,Phil Ofosu-Ayeh,/phil-ofosu-ayeh/profil/spieler/133858
1819,Indirect card suspension,Premier League 2,2019-01-14,2019-02-03,20,1,Timothy Eyoma,/timothy-eyoma/profil/spieler/406559
1819,Red card suspension, ,2018-08-19,2018-09-02,14,3,Jamie Vardy,/jamie-vardy/profil/spieler/197838
1819,Yellow card suspension,Premier League,2018-12-09,2018-12-17,8,1,Shkodran Mustafi,/shkodran-mustafi/profil/spieler/88590
1819,Called up to national team, ,2018-12-27,2019-01-28,32,6,Mathew Ryan,/mathew-ryan/profil/spieler/128969
1819,Indirect card suspension,UEFA Champions League,2019-02-13,2019-03-07,22,1,Paul Pogba,/paul-pogba/profil/spieler/122153
