season,details,from,until,days,games,reason,player,url
1819,Transferred to AS Roma,2018-07-01,2018-07-18,,,Transfer,Alisson,/alisson/profil/spieler/105470
1819,Concussion,2019-05-05,2019-05-11,6,1,injury,Mohamed Salah,/mohamed-salah/profil/spieler/148455
1819,Thigh Problems,2018-10-13,2018-10-18,5,,injury,Mohamed Salah,/mohamed-salah/profil/spieler/148455
1819,Transferred to Dover Athletic,2018-08-30,2018-12-31,,,Transfer,Ntumba Massanka,/ntumba-massanka/profil/spieler/385922
1819,Transferred to RWDM,2019-01-09,2019-06-29,,,Transfer,Ntumba Massanka,/ntumba-massanka/profil/spieler/385922
1819,Bruised Rib,2019-04-19,2019-04-23,4,1,injury,Granit Xhaka,/granit-xhaka/profil/spieler/111455
1819,Groin Injury,2019-03-28,2019-04-15,18,4,injury,Granit Xhaka,/granit-xhaka/profil/spieler/111455
1819,groin strain,2019-01-30,2019-02-23,24,4,injury,Granit Xhaka,/granit-xhaka/profil/spieler/111455
1819,Yellow card suspension,2018-12-03,2018-12-06,3,1,suspension,Granit Xhaka,/granit-xhaka/profil/spieler/111455
1819,Knock,2019-05-05,2019-05-31,26,2,injury,Davinson Sánchez,/davinson-sanchez/profil/spieler/341429
1819,Hamstring Injury,2018-11-06,2018-12-26,50,12,injury,Davinson Sánchez,/davinson-sanchez/profil/spieler/341429
1819,Transferred to Paris SG B,2018-07-01,2018-07-22,,,Transfer,Claudio Gomes,/claudio-gomes/profil/spieler/395239
1819,Strain in the thigh and gluteal muscles,2019-03-03,2019-03-22,19,2,injury,Kieran Trippier,/kieran-trippier/profil/spieler/95810
1819,Groin Strain,2018-11-10,2018-12-13,33,7,injury,Kieran Trippier,/kieran-trippier/profil/spieler/95810
1819,Bruise,2018-08-01,2018-08-17,16,1,injury,Kieran Trippier,/kieran-trippier/profil/spieler/95810
1819,Unknown Injury,2018-11-03,2018-12-31,58,6,injury,Michal Zyro,/michal-zyro/profil/spieler/67431
1819,Unknown Injury,2018-09-16,2018-10-26,40,6,injury,Michal Zyro,/michal-zyro/profil/spieler/67431
1819,Transferred to Pogon Szczecin,2018-08-31,2019-06-29,,,Transfer,Michal Zyro,/michal-zyro/profil/spieler/67431
1819,Ankle Injury,2018-09-23,2018-09-28,5,,injury,DeAndre Yedlin,/deandre-yedlin/profil/spieler/255916
1819,Knee Injury,2018-08-12,2018-08-25,13,1,injury,DeAndre Yedlin,/deandre-yedlin/profil/spieler/255916
1819,Knock,2019-03-04,2019-03-29,25,2,injury,Phil Jagielka,/phil-jagielka/profil/spieler/13520
1819,Knock,2019-01-15,2019-02-25,41,6,injury,Phil Jagielka,/phil-jagielka/profil/spieler/13520
1819,Knee Injury,2018-08-12,2018-11-11,91,13,injury,Phil Jagielka,/phil-jagielka/profil/spieler/13520
1819,Calf Problems,2019-04-14,2019-05-15,31,4,injury,Cesc Fàbregas,/cesc-fabregas/profil/spieler/8806
1819,Thigh Problems,2019-03-09,2019-04-01,23,3,injury,Cesc Fàbregas,/cesc-fabregas/profil/spieler/8806
1819,Knee Problems,2018-08-10,2018-09-15,36,5,injury,Cesc Fàbregas,/cesc-fabregas/profil/spieler/8806
1819,Transferred to Monaco,2019-01-11,2019-06-30,,,Transfer,Cesc Fàbregas,/cesc-fabregas/profil/spieler/8806
1819,Transferred to Plymouth,2018-08-24,2019-01-04,,,Transfer,Stuart O'Keefe,/stuart-okeefe/profil/spieler/93626
