team_name,att,mid,defn,ovr
Manchester City,87,86,83,85
Liverpool,87,83,85,85
Tottenham Hotspur,85,82,82,82
Manchester United,83,81,81,81
Chelsea,80,84,81,81
Arsenal,84,82,78,80
Leicester City,80,79,79,79
West Ham United,82,78,73,78
Everton,80,78,79,78
Wolverhampton Wanderers,79,79,78,78
Watford,76,78,75,77
Newcastle United,75,78,77,77
Crystal Palace,73,77,76,77
AFC Bournemouth,78,76,76,76
Burnley,77,76,76,76
Aston Villa,77,75,75,76
Southampton,76,76,76,76
Brighton & Hove Albion,75,76,76,76
Sheffield United,73,77,75,75
Norwich City,75,74,72,74
Fulham,75,73,71,73
Leeds United,73,74,73,73
West Bromwich Albion,72,74,71,73
Nottingham Forest,73,72,72,72
Cardiff City,71,71,71,72
Derby County,71,71,71,71
Stoke City,69,71,71,71
Middlesbrough,70,71,70,70
Huddersfield Town,70,70,70,70
Swansea City,67,71,69,70
Queens Park Rangers,71,69,69,69
Hull City,68,68,69,68
Sunderland,67,67,67,67
