name,full_name,season,team_id
ARS,Arsenal,1718,1
BOU,Bournemouth,1718,2
BHA,Brighton and Hove Albion,1718,3
BUR,Burnley,1718,4
CHE,Chelsea,1718,5
CRY,Crystal Palace,1718,6
EVE,Everton,1718,7
HUD,Huddersfield Town,1718,8
LEI,Leicester City,1718,9
LIV,Liverpool,1718,10
MCI,Manchester City,1718,11
MUN,Manchester United,1718,12
NEW,Newcastle United,1718,13
SOU,Southampton,1718,14
STK,Stoke City,1718,15
SWA,Swansea City,1718,16
TOT,Tottenham Hotspur,1718,17
WAT,Watford,1718,18
WBA,West Bromwich Albion,1718,19
WHU,West Ham United,1718,20
